original_index,Country,Earlier Average Production,Recent Average Production,Growth Rate %
10,China,37799.363333333335,769145.7506060606,1934.811390401886
26,New Zealand,19271.099,81161.3103030303,321.15558797674333
20,Lebanon,3610.5919999999996,13501.864242424243,273.9515359925531
5,Bolivia,952.1825000000001,3418.130606060606,258.97851578459023
41,Zimbabwe,414.7128571428571,1336.3654545454544,222.23873254190275
29,Peru,8255.3815,25658.23606060606,210.80618213229835
19,Japan,21281.6475,65714.67636363636,208.78566315712334
3,Australia,236007.739,711896.9503030303,201.64135859249527
22,Madagascar,3053.2665,6276.893636363636,105.57961895444225
39,United States,1044319.4574999999,1979174.7078787878,89.51813007647499
24,Mexico,69919.10500000001,122626.50333333333,75.38339962065204
0,Albania,9233.189999999999,15886.426666666666,72.05783338874939
33,South Africa,445802.50999999995,745774.746969697,67.28814446775928
6,Brazil,176597.435,265448.90757575753,50.31300289030673
14,Germany,647549.601,902144.366060606,39.31664302895709
35,Switzerland,79222.72,104775.30121212121,32.25410742287214
12,Egypt,2783.6965,3664.3939393939395,31.637696113564807
8,Canada,34126.190500000004,41226.87242424243,20.80713323171077
9,Chile,459647.82800000004,544166.7390909091,18.3877538285483
36,Syria,203.83846153846156,239.02969696969697,17.26427641065928
34,Spain,2647879.252,3069338.473030303,15.916859528695129
4,Austria,207573.1215,231368.31393939396,11.463522958772845
40,Uruguay,70382.06850000001,78166.36333333334,11.060054072342776
11,Cyprus,38408.2515,40463.518484848486,5.351107911924831
