original_index,original_index,Country,Avg Temp over Time r-value,Avg Temp over Time p-value,Wine Production & Avg Temp r-value,Wine Production & Avg Temp p-value,Wine Production over Time r-value,Wine Production over Time p-value
1,1,Algeria,0.765803882336249,2.3857173852354687e-11,-0.516540448387723,7.510251506147588e-05,-0.8255374380223024,2.8471409241266856e-14
2,2,Argentina,0.4223802633284996,0.0016298343252483,-0.3658131480476807,0.0070659391487318,-0.6549264564254775,1.0354248673032712e-07
3,3,Armenia,0.5881669419016592,0.0039884743043329,-0.6999614178415501,0.0002873322451432,-0.6100416192705334,0.0025724362473599
4,4,Australia,0.5169500860133344,7.3952577568461e-05,0.4792785749242766,0.0002824622492032,0.9062282209164312,1.0454953006297274e-20
6,6,Azerbaijan,0.6380469508546127,0.0013983048430604,-0.5930772664868436,0.003624179676921,-0.4969915049384366,0.0186170827507908
10,10,Brazil,0.751851196602975,8.672368852592829e-11,0.4158724046690187,0.0019548934655564,0.7155814690311256,1.7269717617828555e-09
11,11,Bulgaria,0.5631762917632939,1.132950124335018e-05,-0.6088977188069127,1.3133750402065467e-06,-0.7619718143172092,3.4304199298359156e-11
12,12,Canada,0.646235078728177,1.7283122192435898e-07,0.403027146904971,0.0027702231867363,0.4795597108608228,0.0002798094161049
14,14,China,0.6604537518182619,1.1690958721150172e-05,0.6726362542014868,6.998108803006576e-06,0.9855793546962984,8.049784133029171e-28
19,19,Egypt,0.6347680664544826,3.316095144001407e-07,0.4238665159633084,0.0015627400396282,0.4281236263745691,0.0013840005393616
22,22,France,0.7142677770317425,1.9080043732534373e-09,-0.4698798056455006,0.0003854398626572,-0.5858132657793089,4.061489350795371e-06
24,24,Germany,0.5820105569478083,4.851426391057053e-06,0.489154258175457,0.0002017738314668,0.4236255747476382,0.0015734465042594
27,27,Israel,0.5697724887148201,8.468116695721235e-06,-0.6153430703582188,9.429037128197496e-07,-0.7171559615040948,1.531361407854442e-09
28,28,Italy,0.754419471085213,6.882675784781702e-11,-0.7240333434115389,8.97163762426116e-10,-0.694110012836309,8.243316452344154e-09
29,29,Japan,0.5400575225716697,2.9966876010692717e-05,0.5224267894165633,6.005261090658956e-05,0.8820332633833765,2.698342956495552e-18
32,32,Kyrgyzstan,0.5067382244845096,0.0160943526835406,-0.4730490201716835,0.0261829154539228,-0.6790542311277563,0.0005108303218197
34,34,Lebanon,0.5446910317316618,2.480077955351e-05,0.3016782891298865,0.0281415701855459,0.7156455636522026,1.7185681807147154e-09
35,35,Libya,0.7270261237175999,0.0014182055350594,-0.5861751310728155,0.0170176548210445,-0.9271660558825654,2.4010593401619365e-07
38,38,Madagascar,0.72652722912835,7.361250117851905e-10,0.4600392978879153,0.0005286992688707,0.7183396894776024,1.39828748808814e-09
43,43,Morocco,0.701228299062774,4.9849728318758765e-09,-0.4266394395763666,0.0014441235257655,-0.778076505775207,7.107745227828943e-12
46,46,Panama,0.6860035968641325,1.4367475764648508e-08,-0.3431929587584049,0.0118752978565103,-0.3942334694570182,0.0034898352646522
49,49,Portugal,0.6584143077633273,8.390790633965513e-08,-0.4097190570956858,0.0023140949383698,-0.6673517264277552,4.833980990121805e-08
50,50,Reunion,0.7279206279179684,9.918966501833267e-09,-0.6123119705478828,6.119263908275585e-06,-0.8040873144235379,1.7000547824360242e-11
51,51,Romania,0.5413670087467264,2.841451268281458e-05,-0.3502729897957329,0.0101333903586728,-0.3051941146261197,0.0262712722705397
56,56,South Africa,0.4746830295621855,0.0003291938284072,0.3946763490089386,0.0034499894971848,0.9273327781730656,2.0323334826839802e-23
58,58,Switzerland,0.6808432178754311,2.0276620753451336e-08,0.40939539568294,0.0023345156608184,0.4214963043705509,0.0016709476529409
60,60,Tajikistan,0.5202206531249839,0.0130683008835093,-0.6140399574433857,0.0023661651080666,-0.906330594874338,6.3455940220883195e-09
61,61,Tunisia,0.8005593476990065,6.255915225321392e-13,-0.556478972084858,1.5129786465802829e-05,-0.8176400533169119,7.955009455905625e-14
63,63,Turkmenistan,0.5680899057268979,0.0058124389224305,0.6081864037753191,0.0026731689098902,0.544352828323897,0.0088132014445599
66,66,United States,0.733238543030643,4.2757789407051976e-10,0.7313213875559512,5.001806160619366e-10,0.9536591258569188,2.9144242973756037e-28
